repo_path	branch	has_upstream	ahead	behind	in_default	last_commit_date	checked_out_in
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/predlozhenie-yadra-skilla	yes	0	0	yes	2026-09-23T14:49	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/predlozhenie-yadra-skilla
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/privyazka-golovy-k-huku	yes	0	0	yes	2026-09-06T16:25	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/privyazka-golovy-k-huku
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/priyomka-cherez-priyomshchika	yes	0	0	no	2026-09-23T17:36	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/priyomka-cherez-priyomshchika
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/priyomka-g3-g12-g14-vetka	no	n/a	n/a	yes	2026-09-20T08:45	
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/priyomka-volny-5	yes	0	0	yes	2026-08-26T12:11	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/priyomka-volny-5
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/priyomshchik-kak-rol	yes	0	0	yes	2026-09-21T01:06	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/priyomshchik-kak-rol
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/produkt-a-ne-dvizhenie	yes	0	0	yes	2026-09-21T15:22	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/produkt-a-ne-dvizhenie
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/puls-statusline	no	n/a	n/a	no	2026-09-23T18:08	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/puls-statusline
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/puskovaya-tablica-komandoj	yes	0	0	yes	2026-09-21T01:23	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/puskovaya-tablica-komandoj
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pustoj-pul-sobytie	yes	0	0	yes	2026-09-21T08:55	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pustoj-pul-sobytie
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/puti-generator-i-linter	yes	0	0	yes	2026-09-23T14:24	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/puti-generator-i-linter
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/puti-otnositelno-worktree	yes	0	0	yes	2026-09-17T11:38	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/puti-otnositelno-worktree
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/razmetka-urokov-orkestratora	no	n/a	n/a	yes	2026-09-23T01:51	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/razmetka-urokov-orkestratora
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/razrez-plan-lekcii-2	yes	0	0	yes	2026-08-27T02:19	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/razrez-plan-lekcii-2
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/reestr-zdorovya-kanalov	yes	0	0	yes	2026-09-20T08:26	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/reestr-zdorovya-kanalov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/reestr-zhivosti-chto-meryaet	yes	0	0	yes	2026-09-21T03:36	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/reestr-zhivosti-chto-meryaet
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/registraciya-pri-puske	yes	0	0	yes	2026-09-20T18:52	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/registraciya-pri-puske
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/rezolver-fajl-v-skille	yes	0	0	yes	2026-09-23T01:14	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/rezolver-fajl-v-skille
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/rol-subagenta-kontrakt	yes	0	0	no	2026-09-21T00:51	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/rol-subagenta-kontrakt
